team,matches,runs,run_threat,in_behind,sep_gained,progress_rate,runs_per_match,run_threat_per_match,in_behind_per_match
Barcelona,35,13159,5.274340837264569,296,-2.2526561059567523,0.3571699977201915,375.9714285714286,0.1506954524932734,8.457142857142857
Bayer Leverkusen,31,9587,3.3308793970273967,216,-2.0460734718566815,0.34859705851674144,309.258064516129,0.10744772248475473,6.967741935483871
Paris Saint-Germain,57,17801,4.708340574113485,346,-2.3016224395666853,0.3247008595022752,312.29824561403507,0.08260246621251728,6.0701754385964914
